Team,PTS/G
Tennessee Volunteers,47.3
Ohio State Buckeyes,44.5
TCU Horned Frogs,41.3
USC Trojans,41.1
Washington Huskies,40.8
Alabama Crimson Tide,40.8
Utah Utes,40.2
Michigan Wolverines,39.8
Oregon Ducks,39.7
UCLA Bruins,39.6
UTSA Roadrunners,38.7
SMU Mustangs,38.4
Georgia Bulldogs,38.3
North Carolina Tar Heels,37.1
Houston Cougars,37
James Madison Dukes,37
Wake Forest Demon Deacons,36.8
Florida State Seminoles,36.2
Western Kentucky Hilltoppers,36.1
Penn State Nittany Lions,35.8
Texas Longhorns,35.7
Memphis Tigers,34.9
Appalachian State Mountaineers,34.9
UCF Knights,34.9
Tulane Green Wave,34.4
Clemson Tigers,34.3
Ole Miss Rebels,34.2
Kansas Jayhawks,34.2
Ohio Bobcats,34
North Texas Mean Green,33.9
Texas Tech Red Raiders,33.8
Georgia Southern Eagles,33.7
Baylor Bears,33.6
Kansas State Wildcats,33.4
Toledo Rockets,33.3
Duke Blue Devils,33.3
Oklahoma Sooners,32.9
Mississippi State Bulldogs,32.7
Oregon State Beavers,32.6
LSU Tigers,32.5
South Alabama Jaguars,31.9
BYU Cougars,31.9
Florida Gators,31.8
Oklahoma State Cowboys,31.8
South Carolina Gamecocks,31.7
Pittsburgh Panthers,31.1
Cincinnati Bearcats,31.1
West Virginia Mountaineers,30.9
Fresno State Bulldogs,30.9
Arizona Wildcats,30.8
Arkansas Razorbacks,30.7
Notre Dame Fighting Irish,30.7
East Carolina Pirates,30.7
UAB Blazers,30.6
Tulsa Golden Hurricane,30.6
Boise State Broncos,30.2
Georgia State Panthers,30
Florida Atlantic Owls,29.8
Coastal Carolina Chanticleers,29.4
Army Black Knights,29.4
Maryland Terrapins,29.2
Middle Tennessee Blue Raiders,29.2
Buffalo Bulls,29
Louisiana Tech Bulldogs,29
Eastern Michigan Eagles,28.8
Kent State Golden Flashes,28.6
Purdue Boilermakers,28.6
Syracuse Orange,28.3
Minnesota Golden Gophers,28.3
Liberty Flames,28.1
South Florida Bulls,28
Washington State Cougars,27.9
Air Force Falcons,27.7
Northern Illinois Huskies,27.5
San José State Spartans,27.5
Louisville Cardinals,27.2
Louisiana Ragin' Cajuns,27
Wisconsin Badgers,26.5
UNLV Rebels,26.3
Arizona State Sun Devils,26.1
Missouri Tigers,25.5
Rice Owls,25.5
Illinois Fighting Illini,25.4
NC State Wolfpack,25.3
Arkansas State Red Wolves,25
Auburn Tigers,24.8
Central Michigan Chippewas,24.8
Michigan State Spartans,24.6
Vanderbilt Commodores,24.6
Troy Trojans,24.6
Charlotte 49ers,24.4
UTEP Miners,24.4
Southern Miss Golden Eagles,24.3
Marshall Thundering Herd,24.2
California Golden Bears,23.9
Miami Hurricanes,23.4
Bowling Green Falcons,23.3
Indiana Hoosiers,23.3
Utah State Aggies,23.3
Ball State Cardinals,23.3
Texas A&M Aggies,22.8
Nebraska Cornhuskers,22.6
Navy Midshipmen,22.4
UL Monroe Warhawks,22.3
Kentucky Wildcats,22.1
New Mexico State Aggies,22
Temple Owls,21.9
Akron Zips,21.8
Stanford Cardinal,21.5
San Diego State Aztecs,21.3
Texas State Bobcats,21.3
Miami (OH) RedHawks,20.3
Iowa State Cyclones,20.2
UConn Huskies,19.8
Hawai'i Rainbow Warriors,19.8
Virginia Tech Hokies,19.7
Old Dominion Monarchs,19.5
Western Michigan Broncos,19
Florida International Panthers,18.8
Nevada Wolf Pack,18.8
Boston College Eagles,17.9
Rutgers Scarlet Knights,17.4
Iowa Hawkeyes,17.4
Georgia Tech Yellow Jackets,17.2
Virginia Cavaliers,17
Colorado Buffaloes,15.4
Northwestern Wildcats,13.8
Colorado State Rams,13.2
New Mexico Lobos,13.1
UMass Minutemen,12.5
