ID,destination,TransferIn_Recruit,Year
1,Air Force,0,2022
2,Akron,6,2022
3,Alabama,1,2022
4,Appalachian State,2,2022
5,Arizona,5,2022
6,Arizona State,4,2022
7,Arkansas,6,2022
8,Arkansas State,6,2022
9,Army,0,2022
10,Auburn,5,2022
17,BYU,1,2022
11,Ball State,2,2022
12,Baylor,2,2022
13,Boise State,1,2022
14,Boston College,1,2022
15,Bowling Green,3,2022
16,Buffalo,8,2022
18,California,3,2022
19,Central Michigan,1,2022
20,Charlotte,3,2022
21,Cincinnati,2,2022
22,Clemson,0,2022
23,Coastal Carolina,3,2022
24,Colorado,2,2022
25,Colorado State,3,2022
26,Connecticut,2,2022
27,Duke,4,2022
28,East Carolina,5,2022
29,Eastern Michigan,2,2022
30,Florida,2,2022
31,Florida Atlantic,7,2022
32,Florida International,5,2022
33,Florida State,4,2022
34,Fresno State,5,2022
35,Georgia,1,2022
36,Georgia Southern,3,2022
37,Georgia State,1,2022
38,Georgia Tech,7,2022
39,Hawai'i,7,2022
40,Houston,3,2022
41,Illinois,4,2022
42,Indiana,7,2022
43,Iowa,0,2022
44,Iowa State,2,2022
46,Kansas,8,2022
47,Kansas State,5,2022
48,Kent State,2,2022
49,Kentucky,5,2022
55,LSU,8,2022
50,Liberty,4,2022
51,Louisiana,0,2022
52,Louisiana Monroe,2,2022
53,Louisiana Tech,6,2022
54,Louisville,8,2022
56,Marshall,6,2022
57,Maryland,3,2022
58,Memphis,6,2022
59,Miami,7,2022
60,Miami (OH),4,2022
61,Michigan,2,2022
62,Michigan State,5,2022
63,Middle Tennessee,4,2022
64,Minnesota,5,2022
65,Mississippi State,4,2022
66,Missouri,9,2022
68,NC State,1,2022
67,Navy,0,2022
69,Nebraska,6,2022
70,Nevada,4,2022
71,New Mexico,2,2022
72,New Mexico State,4,2022
73,North Carolina,3,2022
75,North Texas,3,2022
74,Northern Illinois,1,2022
76,Northwestern,3,2022
77,Notre Dame,2,2022
78,Ohio,1,2022
79,Ohio State,2,2022
80,Oklahoma,6,2022
81,Oklahoma State,1,2022
82,Old Dominion,1,2022
83,Ole Miss,7,2022
84,Oregon,4,2022
85,Oregon State,1,2022
86,Penn State,1,2022
87,Pittsburgh,1,2022
88,Purdue,3,2022
89,Rice,3,2022
90,Rutgers,1,2022
93,SMU,7,2022
91,San Diego State,2,2022
92,San José State,2,2022
94,South Alabama,8,2022
95,South Carolina,2,2022
97,South Florida,8,2022
96,Southern Mississippi,8,2022
98,Stanford,1,2022
99,Syracuse,4,2022
100,TCU,8,2022
101,Temple,2,2022
102,Tennessee,3,2022
103,Texas,2,2022
104,Texas A&M,1,2022
105,Texas State,5,2022
106,Texas Tech,5,2022
107,Toledo,4,2022
108,Troy,0,2022
109,Tulane,3,2022
110,Tulsa,2,2022
111,UAB,1,2022
112,UCF,5,2022
113,UCLA,8,2022
114,UMass,11,2022
115,UNLV,1,2022
116,USC,12,2022
120,UT San Antonio,4,2022
119,UTEP,1,2022
117,Utah,3,2022
118,Utah State,4,2022
121,Vanderbilt,3,2022
122,Virginia,3,2022
123,Virginia Tech,1,2022
124,Wake Forest,3,2022
125,Washington,3,2022
126,Washington State,5,2022
129,West Virginia,7,2022
127,Western Kentucky,4,2022
128,Western Michigan,2,2022
130,Wisconsin,4,2022
131,Wyoming,2,2022
