Team,Points/G,Year
Ohio State Buckeyes,45.7,2021
Western Kentucky Hilltoppers,44.2,2021
Pittsburgh Panthers,41.4,2021
Wake Forest Demon Deacons,41.0,2021
Coastal Carolina Chanticleers,40.9,2021
Alabama Crimson Tide,39.6,2021
Tennessee Volunteers,39.3,2021
Oklahoma Sooners,39.1,2021
Georgia Bulldogs,38.6,2021
SMU Mustangs,38.4,2021
Cincinnati Bearcats,36.9,2021
UTSA Roadrunners,36.9,2021
UCLA Bruins,36.7,2021
Utah Utes,36.1,2021
Houston Cougars,35.9,2021
Michigan Wolverines,35.8,2021
Nevada Wolf Pack,35.7,2021
Texas Longhorns,35.3,2021
Notre Dame Fighting Irish,35.2,2021
North Carolina Tar Heels,35.2,2021
Virginia Cavaliers,34.6,2021
Appalachian State Mountaineers,34.5,2021
Miami Hurricanes,34.1,2021
Ole Miss Rebels,33.7,2021
Liberty Flames,33.6,2021
Fresno State Bulldogs,33.4,2021
Toledo Rockets,33.4,2021
NC State Wolfpack,33.1,2021
BYU Cougars,33.1,2021
Marshall Thundering Herd,33.0,2021
Kent State Golden Flashes,33.0,2021
Army Black Knights,32.8,2021
Utah State Aggies,32.6,2021
Western Michigan Broncos,32.5,2021
Kentucky Wildcats,32.3,2021
Central Michigan Chippewas,32.3,2021
Northern Illinois Huskies,32.2,2021
UCF Knights,31.9,2021
Michigan State Spartans,31.8,2021
Baylor Bears,31.6,2021
Louisville Cardinals,31.6,2021
Oregon Ducks,31.4,2021
Iowa State Cyclones,31.3,2021
Oregon State Beavers,31.2,2021
Oklahoma State Cowboys,31.1,2021
Louisiana Ragin' Cajuns,31.1,2021
Arkansas Razorbacks,30.9,2021
Air Force Falcons,30.8,2021
Florida Gators,30.7,2021
Texas Tech Red Raiders,30.3,2021
Memphis Tigers,30.3,2021
Eastern Michigan Eagles,30.2,2021
Middle Tennessee Blue Raiders,29.8,2021
East Carolina Pirates,29.7,2021
UAB Blazers,29.5,2021
Texas A&M Aggies,29.3,2021
Maryland Terrapins,29.3,2021
Boise State Broncos,29.2,2021
Buffalo Bulls,29.2,2021
Missouri Tigers,29.1,2021
Mississippi State Bulldogs,29.1,2021
Purdue Boilermakers,29.1,2021
Miami (OH) RedHawks,28.9,2021
Hawai'i Rainbow Warriors,28.8,2021
USC Trojans,28.7,2021
TCU Horned Frogs,28.7,2021
Arizona State Sun Devils,28.4,2021
Auburn Tigers,28.2,2021
Georgia State Panthers,28.2,2021
Louisiana Tech Bulldogs,28.0,2021
Nebraska Cornhuskers,27.9,2021
Washington State Cougars,27.8,2021
Tulane Green Wave,27.8,2021
Old Dominion Monarchs,27.6,2021
Florida State Seminoles,27.6,2021
Kansas State Wildcats,27.5,2021
North Texas Mean Green,27.5,2021
San Diego State Aztecs,27.4,2021
Charlotte 49ers,27.2,2021
LSU Tigers,26.5,2021
Tulsa Golden Hurricane,26.5,2021
Clemson Tigers,26.3,2021
Florida Atlantic Owls,25.6,2021
Minnesota Golden Gophers,25.5,2021
Wisconsin Badgers,25.4,2021
Wyoming Cowboys,25.4,2021
Arkansas State Red Wolves,25.3,2021
West Virginia Mountaineers,25.2,2021
UTEP Miners,25.1,2021
South Alabama Jaguars,24.9,2021
Syracuse Orange,24.9,2021
Penn State Nittany Lions,24.8,2021
Boston College Eagles,24.7,2021
Ball State Cardinals,24.1,2021
Georgia Tech Yellow Jackets,24.0,2021
California Golden Bears,23.8,2021
Virginia Tech Hokies,23.7,2021
Colorado State Rams,23.7,2021
Iowa Hawkeyes,23.4,2021
South Florida Bulls,23.2,2021
Texas State Bobcats,22.9,2021
Duke Blue Devils,22.8,2021
Troy Trojans,22.8,2021
South Carolina Gamecocks,22.6,2021
Ohio Bobcats,22.6,2021
New Mexico State Aggies,22.4,2021
Rice Owls,21.5,2021
Washington Huskies,21.5,2021
Bowling Green Falcons,21.4,2021
UL Monroe Warhawks,20.9,2021
Kansas Jayhawks,20.8,2021
UNLV Rebels,20.8,2021
Stanford Cardinal,20.4,2021
Florida International Panthers,20.3,2021
Georgia Southern Eagles,20.3,2021
Navy Midshipmen,20.1,2021
San José State Spartans,20.0,2021
Illinois Fighting Illini,19.8,2021
Akron Zips,19.8,2021
Rutgers Scarlet Knights,19.7,2021
Colorado Buffaloes,18.8,2021
Southern Miss Golden Eagles,17.7,2021
Indiana Hoosiers,17.3,2021
Arizona Wildcats,17.2,2021
Northwestern Wildcats,16.6,2021
UMass Minutemen,16.3,2021
Temple Owls,16.3,2021
Vanderbilt Commodores,15.8,2021
UConn Huskies,15.6,2021
New Mexico Lobos,12.2,2021
